"filename", "language", "Vue", "JavaScript", "Markdown", "JSON", "XML", "JSON with Comments", "HTML", "comment", "blank", "total"
"d:\BYSJ3\qf-front\README.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"d:\BYSJ3\qf-front\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\BYSJ3\qf-front\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 8, 0, 12, 0, 20
"d:\BYSJ3\qf-front\package-lock.json", "JSON", 0, 0, 0, 21188, 0, 0, 0, 0, 1, 21189
"d:\BYSJ3\qf-front\package.json", "JSON", 0, 0, 0, 36, 0, 0, 0, 0, 1, 37
"d:\BYSJ3\qf-front\public\img\icons\safari-pinned-tab.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\BYSJ3\qf-front\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"d:\BYSJ3\qf-front\src\App.vue", "Vue", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\BYSJ3\qf-front\src\components\mainbox\SideMenu.vue", "Vue", 72, 0, 0, 0, 0, 0, 0, 0, 2, 74
"d:\BYSJ3\qf-front\src\components\mainbox\TopHeader.vue", "Vue", 76, 0, 0, 0, 0, 0, 0, 0, 6, 82
"d:\BYSJ3\qf-front\src\components\particles\index.vue", "Vue", 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\BYSJ3\qf-front\src\components\particles\particles.js", "JavaScript", 0, 594, 0, 0, 0, 0, 0, 16, 1, 611
"d:\BYSJ3\qf-front\src\main.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\BYSJ3\qf-front\src\registerServiceWorker.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 1, 3, 33
"d:\BYSJ3\qf-front\src\router\config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 2, 24
"d:\BYSJ3\qf-front\src\router\index.js", "JavaScript", 0, 48, 0, 0, 0, 0, 0, 7, 2, 57
"d:\BYSJ3\qf-front\src\store\index.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 1, 32
"d:\BYSJ3\qf-front\src\util\axios.config.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 9, 3, 38
"d:\BYSJ3\qf-front\src\views\Login.vue", "Vue", 200, 0, 0, 0, 0, 0, 0, 0, 5, 205
"d:\BYSJ3\qf-front\src\views\Mainbox.vue", "Vue", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"d:\BYSJ3\qf-front\src\views\center\Center.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\BYSJ3\qf-front\src\views\home\Home.vue", "Vue", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\BYSJ3\qf-front\src\views\notfound\NotFound.vue", "Vue", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\BYSJ3\qf-front\src\views\product-manage\ProAdd.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\BYSJ3\qf-front\src\views\product-manage\ProList.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\BYSJ3\qf-front\src\views\text-manage\TextAdd.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\BYSJ3\qf-front\src\views\text-manage\TextList.vue", "Vue", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\BYSJ3\qf-front\src\views\user-manage\UserAdd.vue", "Vue", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\BYSJ3\qf-front\src\views\user-manage\UserList.vue", "Vue", 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\BYSJ3\qf-front\vue.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"Total", "-", 466, 782, 15, 21224, 3, 8, 16, 46, 54, 22614
